text,label,preprocessed_text
"If you have ever read and enjoyed a novel by Tom Robbins you will appreciate this movie as a whole-hearted attempt to translate his outrageously unconventional writing style into a workable piece of big screen art. The actors and the direction of this film are both good. <br /><br />The only trouble with the film, as I can see it, is that Robbins can relate ideas and sentiments with his words that were still beyond Hollywood's capabilities at the time this film was shot.<br /><br />Given both the irreverence of today's movies, as well as the willingness and abilityof today's audiences to delve into the bizarre, I think ""Even Cowgirls... would receive a better reception today than it did when it was originally released.",1,if you have ever read and enjoyed a novel by tom robbins you will appreciate this movie as a whole hearted attempt to translate his outrageously unconventional writing style into a workable piece of big screen art  the actors and the direction of this film are both good   the only trouble with the film  as i can see it  is that robbins can relate ideas and sentiments with his words that were still beyond hollywoods capabilities at the time this film was shot  given both the irreverence of todays movies  as well as the willingness and abilityof todays audiences to delve into the bizarre  i think  even cowgirls    would receive a better reception today than it did when it was originally released 
I saw this film on television and fascinated by the beauty of Jennifer Mccomb. It was a neat film and you can watch it for the beauty of Africa and of course Mccomb. At that time I was thrilled watching this movie and from then onwards I am trying for VCD of this film but I am unable to find it. Huge African lions makes appearance int his film and we will be spell bounded simply by the size of those animals and grace of them. All section of audience can watch this movie particularly children will enjoy this film. But some scenes involving Mccomb forces parental guidance for this film. It is a enjoyable holiday movie for one and all.,1,i saw this film on television and fascinated by the beauty of jennifer mccomb  it was a neat film and you can watch it for the beauty of africa and of course mccomb  at that time i was thrilled watching this movie and from then onwards i am trying for vcd of this film but i am unable to find it  huge african lions makes appearance int his film and we will be spell bounded simply by the size of those animals and grace of them  all section of audience can watch this movie particularly children will enjoy this film  but some scenes involving mccomb forces parental guidance for this film  it is a enjoyable holiday movie for one and all 
"I really loved this movie and so did the audience that I saw it with in Los Angeles. After the film, lots of people were crying and saying how much the film had affected them. I can see why it was such a huge hit in its homeland, Sweden. The film is masterfully directed and each character brilliantly drawn so that by the end you really know these people and care about them. The music is very natural and the main song in the film quite heartbreaking but inspiring. Would definitely recommend this film for everyone to see - even people who don't normally go to subtitled films. Definitely deserved the Oscar Nomination because of the profound themes of the film reflected without pretension in a small-town community with everyday people. It is a film that unites us in this divided world and shows us the potential of the human spirit. A MUST SEE!",1,i really loved this movie and so did the audience that i saw it with in los angeles  after the film  lots of people were crying and saying how much the film had affected them  i can see why it was such a huge hit in its homeland  sweden  the film is masterfully directed and each character brilliantly drawn so that by the end you really know these people and care about them  the music is very natural and the main song in the film quite heartbreaking but inspiring  would definitely recommend this film for everyone to see   even people who dont normally go to subtitled films  definitely deserved the oscar nomination because of the profound themes of the film reflected without pretension in a small town community with everyday people  it is a film that unites us in this divided world and shows us the potential of the human spirit  a must see 
"The sight of Kareena Kapoor in a two-piece bikini is about the only thing that wakes you up from your sleep while watching Tashan  the mega-disappointing, mind-numbing new film at the cinemas this weekend. Bad films are bad films and we see some every week, but Tashan is not just a bad film, it's a terrible film. Terrible because it takes its audience for granted, terrible also because the filmmakers expect to get away without a plot or any common sense only because they've got big movie stars onboard.Written and directed by Vijay Krishna Acharya, Tashan is what you'd describe as a road movie, but one that's going in all the wrong directions. Saif Ali Khan stars as Jimmy Cliff, a call-centre executive who's hired to teach English to Bhaiyyaji - that's Anil Kapoor playing an ambitious UP gangster, desperate to go cool. Jimmy's got his eye on Pooja, the gangster's pretty young assistant (played by Kareena Kapoor), who uses Jimmy to swindle her boss of 25 crore rupees. Determined to recover his money and also to punish both Jimmy and Pooja, Bhaiyyaji recruits his most trusted henchman to do the job. So you have Akshay Kumar as Bachchan Pandey, the gangster's faithful aide from Kanpur, who tracks down the culprits and recovers the stolen money that's hidden across the length and breadth of the country.Much like those bad eighties potboilers, Tashan too is held together by a threadbare script centred on a vendetta plot. But the treatment's so over-the-top, so indulgent that it fails to establish any connect. Instead of a coherent screenplay or a traditional three-act structure, you get a handful of set pieces around which most of the scenes are loosely constructed. That garish item song in the desert, the bullet-dodging action scene at a Rajasthani fort, Kareeena's bikini moment, even that ridiculous climatic action scene complete with shaolin monks, a water scooter zipping through a dirty naala, and believe it or not, even a Dhanno-style horse-driven tonga. In all fairness, not all these set pieces are badly done - the item song in the desert is quite neat actually - but very little of it makes any sense in the larger picture, because you're just going from one piece to another without any help from the script really. Little do you expect in a seemingly fast-paced road movie, to find a sickeningly sentimental flashback track about childhood sweethearts.You see the problem with Tashan is nobody associated with this film knew what film they were making. What's more, I don't think they cared either - the film reeks of arrogance. Arbitrarily packing in elements of every genre without actually bothering to stop and see if the mix does work, Tashan is like an overcooked stew.There are films that kill you softly, and then there's Tashan, a film that kills you with excess. Packaged snazzily with glossy-finish camera-work, exotic locations and fancy costumes, every frame of the film probably cost lakhs to put together, but it still feels like a hollow piece in the end because the story doesn't hold. Borrowing narrative from Tarantino and style from Stephen Chow doesn't help either because they don't blend with the film's wafer-thin plot. One may have complained a little less if the characters were more engaging, but Anil Kapoor's grating Hinglish dialogue makes you want to slit your wrists, and Saif Ali Khan fumbles through the film foolishly, unable to find his feet. Kareena Kapoor, meanwhile, queen of over-the-top delivery, does a decent job. But of course, if Tashan is salvaged to some extent, it's thanks to Akshay Kumar's irresistible presence and his spontaneous approach to the character. You cringe when he's cupping his crotch repeatedly, and you scowl when he delivers those double-meaning dialogues, but not for a moment can you take your eyes off the screen when he's up there.Despite some good music from Vishal-Shekhar, the songs seem like they're only prolonging your misery. Well that's because Tashan is a test of your patience. In case you didn't know, Tashan means style. I'm sorry to say, this film has none.",0,the sight of kareena kapoor in a two piece bikini is about the only thing that wakes you up from your sleep while watching tashan  the mega disappointing  mind numbing new film at the cinemas this weekend  bad films are bad films and we see some every week  but tashan is not just a bad film  its a terrible film  terrible because it takes its audience for granted  terrible also because the filmmakers expect to get away without a plot or any common sense only because theyve got big movie stars onboard written and directed by vijay krishna acharya  tashan is what youd describe as a road movie  but one thats going in all the wrong directions  saif ali khan stars as jimmy cliff  a call centre executive whos hired to teach english to bhaiyyaji   thats anil kapoor playing an ambitious up gangster  desperate to go cool  jimmys got his eye on pooja  the gangsters pretty young assistant  played by kareena kapoor   who uses jimmy to swindle her boss of 25 crore rupees  determined to recover his money and also to punish both jimmy and pooja  bhaiyyaji recruits his most trusted henchman to do the job  so you have akshay kumar as bachchan pandey  the gangsters faithful aide from kanpur  who tracks down the culprits and recovers the stolen money thats hidden across the length and breadth of the country much like those bad eighties potboilers  tashan too is held together by a threadbare script centred on a vendetta plot  but the treatments so over the top  so indulgent that it fails to establish any connect  instead of a coherent screenplay or a traditional three act structure  you get a handful of set pieces around which most of the scenes are loosely constructed  that garish item song in the desert  the bullet dodging action scene at a rajasthani fort  kareeenas bikini moment  even that ridiculous climatic action scene complete with shaolin monks  a water scooter zipping through a dirty naala  and believe it or not  even a dhanno style horse driven tonga  in all fairness  not all these set pieces are badly done   the item song in the desert is quite neat actually   but very little of it makes any sense in the larger picture  because youre just going from one piece to another without any help from the script really  little do you expect in a seemingly fast paced road movie  to find a sickeningly sentimental flashback track about childhood sweethearts you see the problem with tashan is nobody associated with this film knew what film they were making  whats more  i dont think they cared either   the film reeks of arrogance  arbitrarily packing in elements of every genre without actually bothering to stop and see if the mix does work  tashan is like an overcooked stew there are films that kill you softly  and then theres tashan  a film that kills you with excess  packaged snazzily with glossy finish camera work  exotic locations and fancy costumes  every frame of the film probably cost lakhs to put together  but it still feels like a hollow piece in the end because the story doesnt hold  borrowing narrative from tarantino and style from stephen chow doesnt help either because they dont blend with the films wafer thin plot  one may have complained a little less if the characters were more engaging  but anil kapoors grating hinglish dialogue makes you want to slit your wrists  and saif ali khan fumbles through the film foolishly  unable to find his feet  kareena kapoor  meanwhile  queen of over the top delivery  does a decent job  but of course  if tashan is salvaged to some extent  its thanks to akshay kumars irresistible presence and his spontaneous approach to the character  you cringe when hes cupping his crotch repeatedly  and you scowl when he delivers those double meaning dialogues  but not for a moment can you take your eyes off the screen when hes up there despite some good music from vishal shekhar  the songs seem like theyre only prolonging your misery  well thats because tashan is a test of your patience  in case you didnt know  tashan means style  im sorry to say  this film has none 
"I do regret that I have bought this series. I expected more action, more objective picture and more consistency. This is just a pure propaganda series, very dark, without any charm, or romanticism, it is just boredom itself. I find the actors work quite weak as well. O'Donnell might seem charming as Robin (with Batman), but in this picture he lacks any charm. Probably while he becomes older, he is loosing his childish charm but does not gain any charm of a grown up. It comes as no surprise, that it was not shown in a lot of countries and is being sold in the UK for 40% of the recommended price and was not even released in the Netherlands.",0,i do regret that i have bought this series  i expected more action  more objective picture and more consistency  this is just a pure propaganda series  very dark  without any charm  or romanticism  it is just boredom itself  i find the actors work quite weak as well  odonnell might seem charming as robin  with batman   but in this picture he lacks any charm  probably while he becomes older  he is loosing his childish charm but does not gain any charm of a grown up  it comes as no surprise  that it was not shown in a lot of countries and is being sold in the uk for 40  of the recommended price and was not even released in the netherlands 
"I found the writing in this movie absolutely terrible.<br /><br />The only thing that saved this movie from me rating it as a 1 out of 10 was Lacy Chabert's performance who I thought played the multiple personalities really well. For me she was definitely the highlight of this movie.<br /><br />Dina Meyer was pretty as always but I found her role pretty bland so I don't think one can say that her acting was great.<br /><br />As for the male lead, Armand Assante, his interpretation of the role reminded me mainly of doctors in cheese 1980s hospital series.<br /><br />All of that I could have lived with. However the terrible, terrible, terrible end/solution, the role of the psychic and even the role of psychic were just some of the worst writing I have seen in a long time.",0,i found the writing in this movie absolutely terrible  the only thing that saved this movie from me rating it as a 1 out of 10 was lacy chaberts performance who i thought played the multiple personalities really well  for me she was definitely the highlight of this movie  dina meyer was pretty as always but i found her role pretty bland so i dont think one can say that her acting was great  as for the male lead  armand assante  his interpretation of the role reminded me mainly of doctors in cheese 1980s hospital series  all of that i could have lived with  however the terrible  terrible  terrible end solution  the role of the psychic and even the role of psychic were just some of the worst writing i have seen in a long time 
"One of the biggest hits of 1926, Brown of Harvard is a exciting comedy/drama featuring regatta and football scenes that gave William Haines the role he needed to become a major star. It's patented Haines all the way: brash smart aleck who takes nothing serious until he is rejected by everyone wises up and becomes a man/hero and wins the girl. No one worked this formula like Haines. A terrific comic actor (Little Annie Rooney with Mary Pickford, Show People with Marion Davies), Haines could swing from comedy to tragedy with a change in facial expression. He is a total joy in this film as he was in Tell It to the Marines (with Lon Chaney) and West Point (with Joan Crawford), where he repeats the formula. Mary Brian is good as the girl, Jack Pickford is very good as the sickly roommate, Ralph Bushman is the rival. Edward Connelly, Mary Alden, David Torrence, Guinn Williams, and Grady Sutton co-star. This film is noted now for its homoerotic relationship between Haines and Pickford and for being John Wayne's film debut as a Yale football player (but I never spotted him). Haines was a top-five box office star starting with this picture through 1932. It's a shame he has been largely forgotten and that most of his films appear to be lost. He was one of the most appealing and talented actors of his time.",1,one of the biggest hits of 1926  brown of harvard is a exciting comedy drama featuring regatta and football scenes that gave william haines the role he needed to become a major star  its patented haines all the way  brash smart aleck who takes nothing serious until he is rejected by everyone wises up and becomes a man hero and wins the girl  no one worked this formula like haines  a terrific comic actor  little annie rooney with mary pickford  show people with marion davies   haines could swing from comedy to tragedy with a change in facial expression  he is a total joy in this film as he was in tell it to the marines  with lon chaney  and west point  with joan crawford   where he repeats the formula  mary brian is good as the girl  jack pickford is very good as the sickly roommate  ralph bushman is the rival  edward connelly  mary alden  david torrence  guinn williams  and grady sutton co star  this film is noted now for its homoerotic relationship between haines and pickford and for being john waynes film debut as a yale football player  but i never spotted him   haines was a top five box office star starting with this picture through 1932  its a shame he has been largely forgotten and that most of his films appear to be lost  he was one of the most appealing and talented actors of his time 
"I found this a good movie to pass your time, but not by any chance of any historical value. The portrayal of Cleopatra reminded me a cheap soap opera.<br /><br />The twist of the facts is... funny! She gave birth while feeding her people!?!? O please... A pregnant Queen of Egypt (especially this one) would not bother to go from one room to the other for that reason! They tried to make her appear a saint for God's sake! And the way they tried to justify her murdering her own sister... beyond description.<br /><br />Cleopatra was the greatest politician of her time. Her decisions were based anything but her feelings and morals. She did everything for only two reasons: Power and self-preservation! She was borne in a family where she had to straggle for survival, something she did very well. Anything that stood on her way was either murdered (her brothers and sister) or seduced (Ceasar and Mark Anthony).<br /><br />Unfortunately Octavian was too powerful to kill and too... gay to be seduced. So, he was her end...",0,i found this a good movie to pass your time  but not by any chance of any historical value  the portrayal of cleopatra reminded me a cheap soap opera  the twist of the facts is    funny  she gave birth while feeding her people     o please    a pregnant queen of egypt  especially this one  would not bother to go from one room to the other for that reason  they tried to make her appear a saint for gods sake  and the way they tried to justify her murdering her own sister    beyond description  cleopatra was the greatest politician of her time  her decisions were based anything but her feelings and morals  she did everything for only two reasons  power and self preservation  she was borne in a family where she had to straggle for survival  something she did very well  anything that stood on her way was either murdered  her brothers and sister  or seduced  ceasar and mark anthony   unfortunately octavian was too powerful to kill and too    gay to be seduced  so  he was her end   
"This film is actually pertinent even today given the threat of bio-terrorism, and the threats of superbugs, West Nile Virus, and SARS. As a thriller, the tension is fairly intense. Richard Widmark and Paul Douglas are more than serviceable in their roles. The domestic scenes between Widmark and his wife provide a nice interlude to the main plot. The actor in this film who most left his mark is Jack Palance. His sharply defined features and seemingly easygoing exterior always wither way to reveal the avaricious and cruel man beneath the surface. The chase scene through the packing plant is impressive even today. Recommended, 7/10.",1,this film is actually pertinent even today given the threat of bio terrorism  and the threats of superbugs  west nile virus  and sars  as a thriller  the tension is fairly intense  richard widmark and paul douglas are more than serviceable in their roles  the domestic scenes between widmark and his wife provide a nice interlude to the main plot  the actor in this film who most left his mark is jack palance  his sharply defined features and seemingly easygoing exterior always wither way to reveal the avaricious and cruel man beneath the surface  the chase scene through the packing plant is impressive even today  recommended  7 10 
"and laugh out loud funny in many scenes.<br /><br />The movie's basic plot is well chronicled, a story of opposites trying to find a way to survive each other in close proximity.<br /><br />This is unquestionably Lemmon and Matheau's best film as co-stars, and the interaction between the sloppy Oscar and the OCD Felix are classic.<br /><br />The scene where Oscar lines up a double date, leaves the room briefly, and comes back to find Felix and the two girls all crying is pricelessly funny.<br /><br />For any fan of intelligent comedies, The Odd Couple is a ""go out of your way to see it"" film.",1,and laugh out loud funny in many scenes  the movies basic plot is well chronicled  a story of opposites trying to find a way to survive each other in close proximity  this is unquestionably lemmon and matheaus best film as co stars  and the interaction between the sloppy oscar and the ocd felix are classic  the scene where oscar lines up a double date  leaves the room briefly  and comes back to find felix and the two girls all crying is pricelessly funny  for any fan of intelligent comedies  the odd couple is a  go out of your way to see it  film 
